asset,alpha,volatility,kurtosis,VaR_95,vol_cluster
AAPL,0.1,0.310125914138695,-0.0012762521590307173,-0.5182596341929115,-5.1985746193134305e-05
AAPL,0.3,0.2889650249497837,-0.00032799305738262795,-0.47725787078514886,-0.0001725497974216376
AAPL,0.6,0.24297539849934083,0.0006396564621027601,-0.3896533630924858,-7.690020221800414e-05
AAPL,0.9,0.1493329318058578,0.00034295560986568653,-0.21741839218936818,3.312839470775627e-05
GME,0.1,1.3965624357479935,0.0005571551794608322,-3.2320562318637527,0.0001333693875011069
GME,0.3,1.3005853893379034,-0.000705578816164861,-2.94716975133547,-0.0004355196995507785
GME,0.6,1.0941058899092597,0.00013100310330666556,-2.3648231772397015,-2.7090339008760086e-05
GME,0.9,0.6723480765994272,0.00017987442460792673,-1.3016208900245787,3.4759036062518305e-05
NVDA,0.1,0.524358101997842,0.00035800078414617494,-0.9600962906495938,-0.0002522231173360969
NVDA,0.3,0.4885001107843002,0.00015047864241516398,-0.8831575304525846,0.0001543082487589367
NVDA,0.6,0.4108702054217832,3.211163385194298e-05,-0.7212497118187734,2.9541491369856225e-05
NVDA,0.9,0.25245674903475174,0.0008113863128637502,-0.4085542163516366,-3.241323808840312e-05
QQQ,0.1,0.2520634082996687,-0.001650745546787829,-0.40654155202103365,4.679950065225058e-06
QQQ,0.3,0.23483441206607855,-0.0002113797501621024,-0.3740507761565797,-6.49590306970651e-05
QQQ,0.6,0.1974979019229547,4.742308431309601e-05,-0.30469036439631536,0.000123564554415381
QQQ,0.9,0.1213903377592435,0.0001894188181326197,-0.16741240737659505,0.00012861761112699287
SPY,0.1,0.20657268950720617,0.0011943110581316915,-0.32125789829431944,0.00018425213010057526
SPY,0.3,0.19245441501943855,-0.0003964065255268078,-0.2952198302485861,-0.00022462471754876952
SPY,0.6,0.16185056813922488,-0.000989061627294547,-0.23954472968094603,5.2389332965236515e-05
SPY,0.9,0.09946753102648115,0.0009009883827254615,-0.1289291655814388,-4.962859940739167e-05
TSLA,0.1,0.6564926746102792,0.0007159447051214595,-1.255376789581263,0.00021451149834989913
TSLA,0.3,0.6114403673835024,-0.0006474869018606256,-1.1529369116230221,-0.00026165340522958544
TSLA,0.6,0.5144746950685261,0.0006837382202368382,-0.9398400637473053,-0.00021123368515849956
TSLA,0.9,0.31600038696557464,-0.0008687797632137162,-0.5320221143467598,-8.158437533438594e-05
